sample_name	alias	group	platform	purity	panel
E-P1-Run1V3-Pos7-Rep3-T1	ctDNA	E-P1-Run1V3-Pos7-Rep3-T1	ILLUMINA	1	
E-P1-Run7V2-Pos17-Rep1-T1	ctDNA	E-P1-Run7V2-Pos17-Rep1-T1	ILLUMINA	1	
E-P1-Run7V2-Pos18-Rep1-T1	ctDNA	E-P1-Run7V2-Pos18-Rep1-T1	ILLUMINA	1	
E-P2-Run1V2-Pos1-Rep1-T1	ctDNA	E-P2-Run1V2-Pos1-Rep1-T1	ILLUMINA	1	
E-P4-Run2V2-Pos18-Rep1-T1	ctDNA	E-P4-Run2V2-Pos18-Rep1-T1	ILLUMINA	1	
E-P5-Run2V2-Pos13-Rep1-T1	ctDNA	E-P5-Run2V2-Pos13-Rep1-T1	ILLUMINA	1	
E-P6-Run1V2-Pos3-Rep1-T1	ctDNA	E-P6-Run1V2-Pos3-Rep1-T1	ILLUMINA	1	
E-P6-Run2V2-Pos1-Rep1-T2	ctDNA	E-P6-Run2V2-Pos1-Rep1-T2	ILLUMINA	1	
E-P7-Run1V2-Pos4-Rep1-T1	ctDNA	E-P7-Run1V2-Pos4-Rep1-T1	ILLUMINA	1	
E-P8-Run2V3-Pos21-Rep2-T1	ctDNA	E-P8-Run2V3-Pos21-Rep2-T1	ILLUMINA	1	
E-P8-Run2V3-Pos22-Rep1-T3	ctDNA	E-P8-Run2V3-Pos22-Rep1-T3	ILLUMINA	1	
E-P8-Run2V3-Pos23-Rep1-T5	ctDNA	E-P8-Run2V3-Pos23-Rep1-T5	ILLUMINA	1	
E-P8-Run2V3-Pos24-Rep1-T6	ctDNA	E-P8-Run2V3-Pos24-Rep1-T6	ILLUMINA	1	
E-P8-Run6V2-Pos9-Rep1-T1	ctDNA	E-P8-Run6V2-Pos9-Rep1-T1	ILLUMINA	1	
E-P8-Run6V2-Pos10-Rep1-T2	ctDNA	E-P8-Run6V2-Pos10-Rep1-T2	ILLUMINA	1	
E-P8-Run7V2-Pos13-Rep1-T4	ctDNA	E-P8-Run7V2-Pos13-Rep1-T4	ILLUMINA	1	
E-P8-Run7V2-Pos14-Rep2-T4	ctDNA	E-P8-Run7V2-Pos14-Rep2-T4	ILLUMINA	1	
E-P9-Run1V3-Pos12-Rep2-T1	ctDNA	E-P9-Run1V3-Pos12-Rep2-T1	ILLUMINA	1	
E-P9-Run2V2-Pos16-Rep1-T1	ctDNA	E-P9-Run2V2-Pos16-Rep1-T1	ILLUMINA	1	
E-P10-Run1V3-Pos1-Rep1-T2	ctDNA	E-P10-Run1V3-Pos1-Rep1-T2	ILLUMINA	1	
E-P11-Run2V3-Pos8-Rep3-T1	ctDNA	E-P11-Run2V3-Pos8-Rep3-T1	ILLUMINA	1	
E-P11-Run2V3-Pos9-Rep1-T2	ctDNA	E-P11-Run2V3-Pos9-Rep1-T2	ILLUMINA	1	
E-P11-Run7V2-Pos21-Rep2-T1	ctDNA	E-P11-Run7V2-Pos21-Rep2-T1	ILLUMINA	1	
E-P11-Run7V2-Pos22-Rep1-T1	ctDNA	E-P11-Run7V2-Pos22-Rep1-T1	ILLUMINA	1	
E-P12-Run1V2-Pos5-Rep1-T1	ctDNA	E-P12-Run1V2-Pos5-Rep1-T1	ILLUMINA	1	
E-P13-Run7V2-Pos7-Rep1-T2	ctDNA	E-P13-Run7V2-Pos7-Rep1-T2	ILLUMINA	1	
E-P13-Run7V2-Pos8-Rep2-T2	ctDNA	E-P13-Run7V2-Pos8-Rep2-T2	ILLUMINA	1	
E-P13-Run1V3-Pos11-Rep2-T1	ctDNA	E-P13-Run1V3-Pos11-Rep2-T1	ILLUMINA	1	
E-P13-Run2V2-Pos17-Rep1-T1	ctDNA	E-P13-Run2V2-Pos17-Rep1-T1	ILLUMINA	1	
E-P14-Run2V3-Pos17-Rep1-T4	ctDNA	E-P14-Run2V3-Pos17-Rep1-T4	ILLUMINA	1	
E-P14-Run2V3-Pos18-Rep1-T6	ctDNA	E-P14-Run2V3-Pos18-Rep1-T6	ILLUMINA	1	
E-P14-Run2V3-Pos19-Rep1-T7	ctDNA	E-P14-Run2V3-Pos19-Rep1-T7	ILLUMINA	1	
